location,lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value,region
lille,1,1636,0.620843520782396,0.8639726009872788,0.01680929095354517,146,0.38767123287671246,1490,-0.019530201342281957,5.95602239525649,1.3105161504595919e-08,North
lille,3,1634,1.0659118727050183,1.4455498756820726,-0.04094247246022034,146,0.678082191780822,1488,-0.11149193548387099,6.125093560903234,5.992200655171085e-09,North
lille,5,1632,1.524264705882353,2.0840812383021774,0.010906862745097981,145,1.2096551724137934,1487,-0.10598520511096174,7.086332376136404,3.4779446467571194e-11,North
lille,7,1630,2.097730061349693,2.794386353392197,-0.20766871165644168,143,2.1083916083916088,1487,-0.43039677202420984,9.734501991996874,5.8177494732930955e-18,North
bordeaux,1,1636,0.640403422982885,0.90165902510595,-0.08147921760391198,187,-0.0721925133689837,1449,-0.08267770876466532,0.15137438056872382,0.879808788227189,Southwest Atlantic
bordeaux,3,1634,1.1050183598531214,1.4808322447485074,-0.17772337821297432,187,-0.026737967914438485,1447,-0.19723565998617837,1.5741715048311407,0.11674034125452733,Southwest Atlantic
bordeaux,5,1632,1.6511029411764708,2.262933957949108,-0.08713235294117642,187,1.012299465240642,1445,-0.22941176470588234,6.466957171855093,6.177856237170214e-10,Southwest Atlantic
bordeaux,7,1630,2.40079754601227,3.259488273284778,-0.2459509202453988,187,2.270053475935829,1443,-0.572002772002772,10.004485275170005,1.1933704892427168e-19,Southwest Atlantic
nice,1,1636,0.5843520782396088,0.8250657527327857,0.3660146699266503,24,1.4666666666666675,1612,0.34962779156327545,3.4578629546179998,0.0021230908306955816,Cote d'Azur
nice,3,1634,0.8580171358629131,1.1659909449566621,0.44014687882496945,24,1.7874999999999996,1610,0.4200621118012422,3.7260225325377236,0.0010935273637881632,Cote d'Azur
nice,5,1632,1.1859068627450982,1.616103095624247,0.4376225490196079,24,2.754166666666667,1608,0.40304726368159205,4.6006014337355206,0.00012293730796315825,Cote d'Azur
nice,7,1630,1.5150920245398776,2.0249092988851762,0.35030674846625764,24,3.275,1606,0.30660024906600253,5.428492578253148,1.5388587609708893e-05,Cote d'Azur
